date,total_confirm,total_dead,total_heal,total_severe,total_suspect,today_confirm,today_dead,today_heal,today_severe,today_storeConfirm,today_suspect
2020/1/20,291,6,25,0,54,291,6,25,0,,27
2020/1/21,440,9,25,102,37,149,3,0,0,,26
2020/1/22,571,17,28,95,393,131,8,3,0,,257
2020/1/23,830,25,34,177,1072,259,8,6,0,,680
2020/1/24,1287,41,38,237,1965,457,16,4,0,,1118
2020/1/25,1975,56,49,324,2684,688,15,11,0,,1309
2020/1/26,2744,80,51,461,5794,769,24,2,0,,3806
2020/1/27,4515,106,60,976,6973,1771,26,9,0,,2077
2020/1/28,5974,132,103,1239,9239,1459,26,43,0,,3248
2020/1/29,7711,170,124,1370,12167,1737,38,21,0,,4148
2020/1/30,9692,213,171,1527,15238,1981,43,47,0,,4812
2020/1/31,11791,259,243,1795,17988,2099,46,72,0,,5019
2020/2/1,14380,304,328,2110,19544,2589,45,85,0,,4562
2020/2/2,17205,361,475,2296,21558,2825,57,147,0,,5173
2020/2/3,20438,425,632,2788,23214,3233,64,157,0,,5072
2020/2/4,24324,490,892,3219,23260,3886,65,260,0,,3971
2020/2/5,28018,563,1153,3859,24702,3694,73,261,0,,5328
2020/2/6,31161,636,1540,4821,26359,3143,73,387,0,,4833
2020/2/7,34546,722,2050,6101,27657,3385,86,510,0,,4214
2020/2/8,37198,811,2649,6188,28942,2652,89,599,0,,3916
2020/2/9,40171,908,3281,6484,23589,2973,97,632,0,,4008
2020/2/10,42638,1016,3996,7333,21675,2467,108,715,0,,3536
2020/2/11,44653,1113,4740,8204,16067,2015,97,744,0,,3342
2020/2/12,58761,1259,5642,8030,13435,14108,146,902,0,,2807
2020/2/13,63851,1380,6723,10204,10109,5090,121,1081,0,,2450
2020/2/14,66492,1523,8096,11053,8969,2641,143,1373,0,,2277
2020/2/15,68500,1665,9419,11272,8228,2008,142,1323,0,,1918
2020/2/16,70548,1770,10844,10644,7264,2048,105,1425,0,,1563
2020/2/17,72436,1868,12552,11741,6242,1888,98,1708,0,,1432
2020/2/18,74185,2004,14376,11977,5248,1749,136,1824,0,,1185
2020/2/19,75002,2118,16157,11864,4922,817,114,1781,0,,1277
2020/2/20,75891,2236,18266,11633,5206,889,118,2109,0,,1614
2020/2/21,76288,2345,20659,11477,5365,397,109,2393,0,,1361
2020/2/22,76741,2442,22888,10968,4148,453,97,2229,0,,882
2020/2/23,77150,2592,24734,9915,3434,409,150,1846,0,,620
2020/2/24,77658,2663,27323,9126,2824,508,71,2589,0,,530
2020/2/25,78064,2715,29745,8752,2491,406,52,2422,0,,439
2020/2/26,78497,2744,32495,8346,2358,433,29,2750,0,,508
2020/2/27,78824,2788,36117,7952,2308,327,44,3622,0,,452
2020/2/28,79251,2835,39002,7664,1418,427,47,2885,0,,248
2020/2/29,79824,2870,41625,7365,851,573,35,2623,0,,132
2020/3/1,80026,2912,44462,7110,715,202,42,2837,0,,141
2020/3/2,80151,2943,47204,6806,587,125,31,2742,0,,129
2020/3/3,80270,2981,49856,6416,520,119,38,2652,0,,143
2020/3/4,80409,3012,52045,5952,522,139,31,2189,0,,143
2020/3/5,80552,3042,53726,5737,482,143,30,1681,0,,102
2020/3/6,80651,3070,55404,5489,502,99,28,1678,0,,99
2020/3/7,80695,3097,57065,5264,458,44,27,1661,0,,84
2020/3/8,80735,3119,58600,5111,421,40,22,1535,0,,60
2020/3/9,80754,3136,59897,4794,349,19,17,1297,0,,36
2020/3/10,80778,3158,61475,4492,285,24,22,1578,0,,31
2020/3/11,80793,3169,62793,4257,253,15,11,1318,0,,33
2020/3/12,80813,3176,64111,4020,147,20,7,1318,0,,33
2020/3/13,80824,3189,65541,3610,115,11,13,1430,0,,17
2020/3/14,80844,3199,66911,3226,113,20,10,1370,0,,39
2020/3/15,80860,3213,67749,3032,134,16,14,838,0,,41
2020/3/16,80881,3226,68679,2830,128,21,13,930,0,,45
2020/3/17,80894,3237,69601,2622,119,13,11,922,0,,21
2020/3/18,80928,3245,70420,2314,105,34,8,819,0,,23
2020/3/19,80967,3248,71150,2136,104,39,3,730,0,,31
2020/3/20,81008,3255,71740,1963,106,41,7,590,0,,36
2020/3/21,81054,3261,72244,1845,118,46,6,504,0,,45
2020/3/22,81093,3270,72703,1749,136,39,9,459,0,,47
2020/3/23,81171,3277,73159,1573,132,78,7,456,0,,35
2020/3/24,81218,3281,73650,1399,134,47,4,491,0,,33
2020/3/25,81285,3287,74051,1235,159,67,6,401,0,,58
2020/3/26,81340,3292,74588,1034,189,55,5,537,0,,49
2020/3/27,81394,3295,74971,921,184,54,3,383,0,,29
2020/3/28,81439,3300,75448,742,174,45,5,477,0,,28
2020/3/29,81470,3304,75770,633,168,31,4,322,0,,17
2020/3/30,81518,3305,76052,528,183,48,1,282,0,,44
