编号,更新时间,名称,累计确诊,累计疑似,累计治愈,累计死亡,累计重症,累计境外输入,当日新增确诊,当日新增疑似,当日新增治愈,当日新增死亡,当日新增重症,当日现存确诊,当日境外输入
420000,2020-04-01 13:28:00,湖北,67802,0,63326,3193,0,0,1.0,,173.0,6.0,,1283,0.0
440000,2020-04-01 13:11:48,广东,1501,0,1357,8,0,0,11.0,,4.0,0.0,,136,0.0
410000,2020-04-01 13:50:22,河南,1276,0,1251,22,0,0,0.0,,0.0,0.0,,3,0.0
330000,2020-04-01 09:03:23,浙江,1257,0,1226,1,0,0,0.0,0.0,0.0,0.0,0.0,30,0.0
430000,2020-04-01 11:01:44,湖南,1018,0,1014,4,0,0,0.0,,0.0,0.0,,0,0.0
340000,2020-03-31 08:49:16,安徽,990,0,984,6,0,0,,,,,,0,
360000,2020-04-01 09:09:24,江西,937,0,935,1,0,0,0.0,,0.0,0.0,,1,0.0
370000,2020-04-01 08:15:14,山东,774,0,753,7,0,0,0.0,,0.0,0.0,,14,0.0
810000,2020-04-01 07:15:41,香港,714,0,128,4,0,0,32.0,0.0,4.0,0.0,0.0,582,0.0
320000,2020-04-01 08:58:50,江苏,646,0,631,0,0,0,0.0,,0.0,0.0,,15,0.0
110000,2020-04-01 13:52:34,北京,580,0,418,8,0,0,0.0,,2.0,0.0,,154,0.0
500000,2020-04-01 07:38:18,重庆,579,0,570,6,0,0,0.0,,0.0,0.0,,3,0.0
510000,2020-04-01 09:32:35,四川,552,0,536,3,0,0,2.0,,0.0,0.0,,13,0.0
310000,2020-04-01 14:16:04,上海,516,0,343,6,0,0,7.0,,5.0,1.0,,167,0.0
230000,2020-04-01 13:20:07,黑龙江,484,0,469,13,0,0,0.0,,0.0,0.0,,2,0.0
350000,2020-04-01 13:48:19,福建,345,0,297,1,0,0,2.0,,2.0,0.0,,47,0.0
700000,2020-04-01 14:31:06,台湾,329,0,39,5,0,0,23.0,0.0,0.0,0.0,0.0,285,0.0
130000,2020-04-01 07:58:31,河北,323,0,310,6,0,0,2.0,,0.0,0.0,,7,0.0
610000,2020-04-01 09:29:53,陕西,255,0,242,3,0,0,2.0,,0.0,0.0,,10,0.0
450000,2020-04-01 11:27:19,广西,254,0,250,2,0,0,0.0,,0.0,0.0,,2,0.0
530000,2020-04-01 03:41:56,云南,182,0,172,2,0,0,1.0,,0.0,0.0,,8,0.0
120000,2020-04-01 14:18:00,天津,176,0,135,3,0,0,2.0,,2.0,0.0,,38,0.0
460000,2020-04-01 09:15:02,海南,168,0,162,6,0,0,0.0,,0.0,0.0,,0,0.0
520000,2020-04-01 08:47:18,贵州,147,0,144,2,0,0,0.0,,0.0,0.0,,1,0.0
210000,2020-04-01 08:10:33,辽宁,140,0,124,2,0,0,1.0,,0.0,0.0,,14,0.0
620000,2020-03-31 08:37:29,甘肃,138,0,125,2,0,0,,,,,,11,
140000,2020-04-01 03:49:08,山西,137,0,133,0,0,0,1.0,,0.0,0.0,,4,0.0
150000,2020-04-01 14:04:45,内蒙古,111,0,74,1,0,0,4.0,,0.0,0.0,,36,0.0
220000,2020-04-01 07:40:46,吉林,98,0,92,1,0,0,0.0,,0.0,0.0,,5,0.0
650000,2020-04-01 08:50:42,新疆,76,0,73,3,0,0,0.0,,0.0,0.0,,0,0.0
640000,2020-04-01 08:49:29,宁夏,75,0,75,0,0,0,0.0,,0.0,0.0,,0,0.0
820000,2020-04-01 08:16:43,澳门,41,0,10,0,0,0,2.0,0.0,0.0,0.0,0.0,31,0.0
630000,2020-04-01 09:40:35,青海,18,0,18,0,0,0,0.0,,0.0,0.0,,0,0.0
540000,2020-03-31 10:08:52,西藏,1,0,1,0,0,0,,,,,,0,
