日期,名称,累计确诊,累计疑似,累计治愈,累计死亡,累计重症,当日新增确诊,当日新增疑似,当日新增治愈,当日新增死亡,当日新增重症,当日现存确诊
2020-01-20,韩国,1,0,0,0,0,1,0.0,0,0,,1
2020-01-21,韩国,1,0,0,0,0,0,0.0,0,0,,1
2020-01-22,韩国,1,0,0,0,0,0,0.0,0,0,,1
2020-01-23,韩国,1,0,0,0,0,0,0.0,0,0,,1
2020-01-24,韩国,2,0,0,0,0,1,0.0,0,0,,2
2020-01-25,韩国,2,0,0,0,0,0,0.0,0,0,,2
2020-01-26,韩国,3,0,0,0,0,1,0.0,0,0,,3
2020-01-27,韩国,4,0,0,0,0,1,0.0,0,0,,4
2020-01-28,日本,4,0,0,0,0,4,0.0,0,0,,4
2020-01-28,韩国,4,0,0,0,0,0,0.0,0,0,,4
2020-01-29,韩国,4,0,0,0,0,0,0.0,0,0,,4
2020-01-30,日本,6,0,0,0,0,2,0.0,0,0,,6
2020-01-30,韩国,6,0,0,0,0,2,0.0,0,0,,6
2020-01-31,意大利,2,0,0,0,0,2,0.0,0,0,,2
2020-01-31,日本,15,0,0,0,0,9,0.0,0,0,,15
2020-01-31,韩国,11,0,0,0,0,5,0.0,0,0,,11
2020-02-01,意大利,2,0,0,0,0,0,0.0,0,0,,2
2020-02-01,日本,20,0,0,0,0,5,0.0,0,0,,20
2020-02-01,韩国,12,0,0,0,0,1,0.0,0,0,,12
2020-02-02,意大利,2,0,0,0,0,0,0.0,0,0,,2
2020-02-02,韩国,15,0,0,0,0,3,0.0,0,0,,15
2020-02-03,意大利,2,0,0,0,0,0,0.0,0,0,,2
2020-02-03,韩国,15,0,0,0,0,0,0.0,0,0,,15
2020-02-04,意大利,2,0,0,0,0,0,0.0,0,0,,2
2020-02-04,韩国,16,0,0,0,0,1,0.0,0,0,,16
2020-02-05,中国,24433,23260,962,493,0,24433,3971.0,962,493,,22978
2020-02-05,意大利,2,0,0,0,0,0,0.0,0,0,,2
2020-02-05,日本,30,0,0,0,0,10,0.0,0,0,,30
2020-02-05,韩国,19,0,1,0,0,3,0.0,1,0,,18
2020-02-06,中国,31161,26359,1540,637,0,6728,3230.0,578,144,,28984
2020-02-06,意大利,3,0,0,0,0,1,0.0,0,0,,3
2020-02-06,日本,45,0,0,0,0,15,0.0,0,0,,45
2020-02-06,韩国,23,0,2,0,0,4,0.0,1,0,,21
2020-02-07,中国,34598,27657,2052,723,0,3437,0.0,512,86,,31823
2020-02-07,意大利,3,0,0,0,0,0,0.0,0,0,,3
2020-02-07,日本,86,0,0,0,0,41,0.0,0,0,,86
2020-02-07,韩国,24,0,2,0,0,1,0.0,0,0,,22
2020-02-08,中国,37162,28942,2651,812,0,2564,3916.0,599,89,,33699
2020-02-08,德国,14,0,0,0,0,14,0.0,0,0,,14
2020-02-08,意大利,3,0,0,0,0,0,0.0,0,0,,3
2020-02-08,日本,146,0,1,0,0,60,0.0,1,0,,145
2020-02-08,美国,14,0,0,0,0,14,0.0,0,0,,14
2020-02-08,英国,8,0,0,0,0,8,0.0,0,0,,8
2020-02-08,西班牙,2,0,0,0,0,2,0.0,0,0,,2
2020-02-08,韩国,24,0,2,0,0,0,0.0,0,0,,22
2020-02-09,中国,40224,23589,3282,909,0,3062,4008.0,631,97,,36033
2020-02-09,意大利,3,0,0,0,0,0,0.0,0,0,,3
2020-02-09,日本,146,0,1,0,0,0,0.0,0,0,,145
2020-02-09,韩国,27,0,3,0,0,3,0.0,1,0,,24
2020-02-10,中国,42708,21675,3998,1017,0,2484,3536.0,716,108,,37693
2020-02-10,德国,16,0,14,0,0,2,0.0,14,0,,2
2020-02-10,意大利,3,0,0,0,0,0,0.0,0,0,,3
2020-02-10,日本,146,0,1,0,0,0,0.0,0,0,,145
2020-02-10,韩国,27,0,4,0,0,0,0.0,1,0,,23
2020-02-11,中国,44730,16067,4742,1114,0,2022,3342.0,744,97,,38874
2020-02-11,意大利,3,0,0,0,0,0,0.0,0,0,,3
2020-02-11,日本,148,0,1,0,0,2,0.0,0,0,,147
2020-02-11,韩国,28,0,4,0,0,1,0.0,0,0,,24
2020-02-12,中国,58839,13435,5646,1260,0,14109,2807.0,904,146,,51933
2020-02-12,意大利,3,0,0,0,0,0,0.0,0,0,,3
2020-02-12,日本,203,0,1,0,0,55,0.0,0,0,,202
2020-02-12,英国,9,0,0,0,0,1,0.0,0,0,,9
2020-02-12,韩国,28,0,7,0,0,0,0.0,3,0,,21
2020-02-13,中国,63932,10109,6728,1381,0,5093,2450.0,1082,121,,55823
2020-02-13,德国,16,0,1,0,0,0,0.0,0,0,,15
2020-02-13,意大利,3,0,0,0,0,0,0.0,0,0,,3
2020-02-13,日本,251,0,1,1,0,48,0.0,0,1,,249
2020-02-13,美国,15,0,0,0,0,1,0.0,0,0,,15
2020-02-13,韩国,28,0,7,0,0,0,0.0,0,0,,21
2020-02-14,中国,66575,8969,8101,1524,0,2643,2277.0,1373,143,,56950
2020-02-14,意大利,3,0,0,0,0,0,0.0,0,0,,3
2020-02-14,日本,259,0,14,1,0,8,0.0,13,0,,244
2020-02-14,韩国,28,0,7,0,0,0,0.0,0,0,,21
2020-02-15,中国,68584,8228,9425,1666,0,2009,1918.0,1324,142,,57493
2020-02-15,意大利,3,0,0,0,0,0,0.0,0,0,,3
2020-02-15,日本,340,0,14,1,0,81,0.0,0,0,,325
2020-02-15,韩国,28,0,9,0,0,0,0.0,2,0,,19
2020-02-16,中国,70635,7264,10853,1772,0,2051,1563.0,1428,106,,58010
2020-02-16,意大利,3,0,0,0,0,0,0.0,0,0,,3
2020-02-16,日本,413,0,14,1,0,73,0.0,0,0,,398
2020-02-16,韩国,29,0,9,0,0,1,0.0,0,0,,20
